elevator(deg),beta(deg),alpha(deg),Cx,Cy,Cz,Cl,Cm,Cn
0.0,2.0,-20.0,0.2661584853222664,-0.021213481796085752,1.2498929654812456,0.002916358571305051,0.10834947372150903,0.008020793174751337
0.0,2.0,-15.0,0.14466805862094256,-0.0202766893342258,0.9148545081321268,0.0020265740460779593,0.05071251913989175,0.0077804058142347835
0.0,2.0,-10.0,0.05909727668110479,-0.019341212775618944,0.5809119498858251,0.0008923808577515799,0.013801764204645713,0.007530563175578696
0.0,2.0,-5.0,0.00906915350986536,-0.019279890023308432,0.2609413644095544,-0.0005990613146085024,0.007061942325242403,0.007529012347928144
0.0,2.0,0.0,-0.00628892231983472,-0.02532061507635073,-0.08579389077088465,-0.003070022838898456,-0.02791862299910147,0.009602802578484773
0.0,2.0,5.0,0.014273108043817912,-0.03908844228737155,-0.36809388585510455,-0.005515793249715401,0.016067619680948005,0.014513124861904259
0.0,2.0,10.0,0.06979526807817213,-0.06363116562234138,-0.7067736768489088,-0.011078150438005786,-0.016488257405951837,0.023825762800856378
0.0,2.0,15.0,0.16202878515690403,-0.0727396472421211,-1.0529735474481965,-0.0186972297888028,-0.0726407173836076,0.030221753137380365
0.0,2.0,20.0,0.29289086063589687,-0.038822641424718085,-1.3992632954848454,-0.024212503312799886,-0.1499749344775069,0.023073975092006618
0.0,2.0,25.0,0.46243149111773674,0.07852932918543314,-1.7368790899980815,-0.0071055900060680455,-0.2439253331707149,-0.02127140192237703
0.0,4.0,-25.0,0.42322763103890565,-0.044421118933068375,1.575346405423626,0.0072790156158627425,0.1861311214999952,0.016615915401305997
0.0,4.0,-20.0,0.26645033010654484,-0.04250844282484111,1.2468589446109437,0.005770499032735967,0.11029587731953365,0.016066495803426516
0.0,4.0,-15.0,0.14534725827304362,-0.04075423168777292,0.9125706993126319,0.003993279040684077,0.05201176325447513,0.015628513907253627
0.0,4.0,-10.0,0.060187428863806146,-0.039032869931924445,0.5823702025550646,0.0017276638957753362,0.01813308074099392,0.015171097234590515
0.0,4.0,-5.0,0.010240421821661811,-0.038957092607279926,0.2615273773463657,-0.0012342326338156224,0.008738319050058068,0.015188432580286933
